SSP,total_revenue,total_impressions
33Across #23,152.43,137411.0
AdaptMX #17,598.31,683381.0
Freewheel #5,2.04,170.0
HCode #11,0.01,1.0
Illumin Demand #29,412.42,1680877.0
InMobi #42,104.44,94944.0
Magnite,0.0,0.0
Magnite #3,1045.52,1077727.0
OneTag #14,184.10999999999999,455758.0
Pubmatic #2,1980.42,1911932.0
Sharethrough #19,364.90000000000003,464025.0
Sovrn #22,59.14,67404.0
Stirista #49,287.4,94442.0
Unruly #4,566.84,969186.0
Verve #46,807.6700000000001,1991680.0
